number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
10,0.9909,2026-05-25 12:43:15.395203,2026-05-25 12:43:39.121097,0 days 00:00:23.725894,0.3422918506795392,0.10809576601687754,0.3731086550221511,10,288,0.40918388061991745,10.539502983284288,0.10268028060914874,COMPLETE
11,0.9916,2026-05-25 12:43:39.122826,2026-05-25 12:43:45.534195,0 days 00:00:06.411369,0.9994196275132072,4.521047022881419,0.3347893969940884,8,141,0.9348745826465991,8.785777835724828,0.9409484013440828,COMPLETE
12,0.9912,2026-05-25 12:43:45.535421,2026-05-25 12:43:52.593951,0 days 00:00:07.058530,0.9754191707872244,2.3284776464589143,0.21294950345437602,8,197,0.7486165033763859,7.741804802877175,0.6634768239161638,COMPLETE
13,0.991,2026-05-25 12:43:52.595384,2026-05-25 12:43:58.504092,0 days 00:00:05.908708,0.3040030473479891,1.4755651374557406,0.3765327107893334,9,246,0.4624330284986685,9.840435264687471,0.21999815814504609,COMPLETE
14,0.991,2026-05-25 12:43:58.505585,2026-05-25 12:44:01.095340,0 days 00:00:02.589755,0.4617787609311156,2.8752653428560673,0.3169627184785151,6,105,0.9713204443523848,8.42117776755532,0.7367926631841082,COMPLETE
15,0.99,2026-05-25 12:44:01.096921,2026-05-25 12:44:08.479777,0 days 00:00:07.382856,0.11504470241880876,4.047882534082948,0.2141627707037182,7,175,0.7835874604322326,6.285442084642273,0.8536367071388575,COMPLETE
16,0.9912,2026-05-25 12:44:08.481297,2026-05-25 12:44:17.458974,0 days 00:00:08.977677,0.8651798760565914,3.897170982130594,0.39691404716022793,5,159,0.48995950044382586,9.7058375190613,0.2592424817063479,COMPLETE
17,0.9914,2026-05-25 12:44:17.460300,2026-05-25 12:44:41.622809,0 days 00:00:24.162509,0.2778503995064344,1.0852317207822917,0.28916675126698455,9,292,0.26902040863568016,7.424003863540175,0.4377162357476346,COMPLETE
18,0.9911,2026-05-25 12:44:41.626311,2026-05-25 12:44:55.609566,0 days 00:00:13.983255,0.48644208750669127,2.140676573935049,0.2211959037036338,3,224,0.8423826304384583,8.937562325037423,0.6286912164489747,COMPLETE
19,0.991,2026-05-25 12:44:55.615955,2026-05-25 12:45:00.835324,0 days 00:00:05.219369,0.8429806857456211,2.8536123429420956,0.4205874881295055,9,88,0.6894167957045588,10.873804772116673,0.19363510239899356,COMPLETE
