iter	MultiClass
0	0.419152937
1	0.2446061287
2	0.1591746522
3	0.1122688113
4	0.08370947105
5	0.06720169226
6	0.05762645512
7	0.05190653851
8	0.04812798702
9	0.04255303203
10	0.04044116189
11	0.03932851902
12	0.03807967036
13	0.03561370277
14	0.03486926899
15	0.03452332967
16	0.03385219809
17	0.03352704786
18	0.03299426725
19	0.03278296022
20	0.03270135289
21	0.03228287843
22	0.03138976145
23	0.03086592825
24	0.03071370185
25	0.03034419836
26	0.03014780544
27	0.02998414269
28	0.02961619185
29	0.02954912176
30	0.02937102192
31	0.0292605849
32	0.02910359276
33	0.02885647828
34	0.02873323382
35	0.0284794036
36	0.02810538072
37	0.02775094693
38	0.02767074897
39	0.02750531489
40	0.02731095552
41	0.0272501005
42	0.02715969174
43	0.02709133511
44	0.02676270683
45	0.02667548099
46	0.02665216608
47	0.02649023666
48	0.02594570011
49	0.02581420379
50	0.02576973375
51	0.02567630858
52	0.02558904181
53	0.02545188549
54	0.02509848659
55	0.0250692368
56	0.02503555193
57	0.02495237999
58	0.02485161526
59	0.02466282212
60	0.02462581941
61	0.02454837114
62	0.0243609491
63	0.02417425653
64	0.02410763815
65	0.0240418753
66	0.02401689132
67	0.02399738523
68	0.02395538781
69	0.0238030004
70	0.02373351604
71	0.02364326298
72	0.02357449839
73	0.0233590659
74	0.02322999835
75	0.02319740053
76	0.02297582393
77	0.02290618549
78	0.02287591907
79	0.02278061273
80	0.02253566194
81	0.02236760215
82	0.02219914719
83	0.02212567228
84	0.02207895973
85	0.02203446129
86	0.02200338309
87	0.02191946549
88	0.02183951691
89	0.02174194634
90	0.0217166505
91	0.02160891794
92	0.02144902197
93	0.02141966798
94	0.02139126472
95	0.02131900952
96	0.02121909639
97	0.02107782988
98	0.02097142277
99	0.0209275571
100	0.02081677655
101	0.02074986853
102	0.0206548583
103	0.02053896792
104	0.02048211206
105	0.02046621343
106	0.02039485552
107	0.02033684629
108	0.02031209198
109	0.0202773898
110	0.02026378019
111	0.02023543365
112	0.02013794901
113	0.02005553863
114	0.0199848384
115	0.01995036703
116	0.0199115574
117	0.01987140718
118	0.01984778086
119	0.01983533958
120	0.01982588398
121	0.01977783408
122	0.01971409309
123	0.01968355565
124	0.01959726609
125	0.01955604297
126	0.01952755707
127	0.01951063035
128	0.01937319993
129	0.01935125214
130	0.01933215858
131	0.01927918201
132	0.01921590595
133	0.0191741022
134	0.019153519
135	0.01903568936
136	0.01894908725
137	0.01888435233
138	0.01885599566
139	0.01879886405
140	0.01874459442
141	0.01870411035
142	0.01868315753
143	0.01863695077
144	0.01862635355
145	0.01859140631
146	0.01855144002
147	0.01846115595
148	0.01839329192
149	0.01837137671
150	0.01832332867
151	0.0183049629
152	0.01829083134
153	0.01826993787
154	0.01825535933
155	0.0181952817
156	0.018130199
157	0.01807533622
158	0.01794397987
159	0.01786098503
160	0.01783667272
161	0.01782341898
162	0.01779779005
163	0.01776406246
164	0.01770585743
165	0.01763701719
166	0.01757689416
167	0.01755192499
168	0.01752911107
169	0.01752159276
170	0.01749156935
171	0.01743893348
172	0.01742317942
173	0.01740191945
174	0.01734506874
175	0.01732676054
176	0.01730501757
177	0.01728789944
178	0.01725264188
179	0.01723985575
180	0.01721424798
181	0.01715614991
182	0.01711829984
183	0.01710723365
184	0.01708258824
185	0.01704457763
186	0.0168806646
187	0.01682786786
188	0.01679719601
189	0.01678714906
190	0.01676173804
191	0.01672924377
192	0.01670983151
193	0.01667364928
194	0.01665549735
195	0.01662134865
196	0.01660412784
197	0.01656761744
198	0.01651429382
199	0.01649212084
200	0.01644821036
201	0.01643153849
202	0.01635686146
203	0.0163146739
204	0.01628416189
205	0.0162628133
206	0.01623611064
207	0.01619436736
208	0.01617136282
209	0.01612368258
210	0.01609550279
211	0.01608686513
212	0.01607104987
213	0.01605071854
214	0.01601694749
215	0.01597395659
216	0.01590824552
217	0.01586202957
218	0.01581010961
219	0.01580148507
220	0.01579158546
221	0.01576995505
222	0.01574930637
223	0.01572831981
224	0.01569294427
225	0.015652147
226	0.01562693014
227	0.01561341579
228	0.01558070344
229	0.01545965482
230	0.01543960755
231	0.01543186746
232	0.01538843519
233	0.01536435585
234	0.0153113242
235	0.01530202065
236	0.01525970121
237	0.0152478953
238	0.01522626044
239	0.01521677677
240	0.01513046044
241	0.01507714684
242	0.01507125705
243	0.0149889078
244	0.01497522096
245	0.01496105097
246	0.01491675555
247	0.01490270306
248	0.0148964881
249	0.0148907768
250	0.01486769818
251	0.01484992351
252	0.01484152409
253	0.01482213001
254	0.01472408069
255	0.01469214905
256	0.01468159045
257	0.01465246159
258	0.01464207698
259	0.01461356154
260	0.01459056723
261	0.01456248416
262	0.01452779657
263	0.01451850609
264	0.01446807674
265	0.01441588274
266	0.0143708126
267	0.0143627956
268	0.01434367199
269	0.01430040626
270	0.01428033231
271	0.01426292102
272	0.01423716001
273	0.01421946709
274	0.01413756659
275	0.01411466182
276	0.01405077133
277	0.01401718986
278	0.01396212339
279	0.01390540056
280	0.01385017036
281	0.01384198473
282	0.01374262091
283	0.0137243051
284	0.01369334642
285	0.01367316666
286	0.01366114182
287	0.01364269562
288	0.01360967733
289	0.01359986698
290	0.01357402054
291	0.01355133815
292	0.01351260136
293	0.01349368725
294	0.01347540076
295	0.01342415432
296	0.0133794972
297	0.01336251025
298	0.01335372694
299	0.01326824124
300	0.01325286811
301	0.01324580236
302	0.01323193511
303	0.01321481634
304	0.01314156878
305	0.01305346502
306	0.01302707969
307	0.01300055591
308	0.01299180271
309	0.01297662876
310	0.01290875096
311	0.01290375441
312	0.01289244209
313	0.01288328362
314	0.01285623054
315	0.0127848379
316	0.01277090518
317	0.01275690924
318	0.0127461988
319	0.01270455331
320	0.01265360119
321	0.0126442476
322	0.01261403564
323	0.01257313051
324	0.01254669216
325	0.0125285731
326	0.01251399487
327	0.01250332304
328	0.01243675237
329	0.01240722716
330	0.01238941195
331	0.01238535657
332	0.01236398674
333	0.01235202603
334	0.01234137678
